,Life expectancy,Adult Mortality,Alcohol,Hepatitis B,Measles,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness 1-19 years,Schooling,Status_Encoded
15,54.8,321.0,0.01,62.0,6532,12.2,122,24.0,8.2,24.0,0.1,114.56,293756.0,2.3,5.5,0
14,55.3,316.0,0.01,63.0,8762,12.6,122,35.0,7.8,33.0,0.1,117.49698,2966463.0,2.1,5.9,0
13,56.2,3.0,0.01,64.0,2486,13.0,122,36.0,7.76,36.0,0.1,187.84595,21979923.0,19.9,6.2,0
12,56.7,295.0,0.01,65.0,798,13.4,122,41.0,8.82,41.0,0.1,198.7285436,2364851.0,19.7,6.5,0
11,57.0,293.0,0.02,67.0,466,13.8,120,9.0,8.79,9.0,0.1,219.1413528,24118979.0,19.5,6.8,0
10,57.3,291.0,0.02,66.0,1296,14.2,118,58.0,8.7,58.0,0.1,25.2941299,257798.0,19.3,7.9,0
9,57.3,295.0,0.03,64.0,1990,14.7,116,58.0,7.43,58.0,0.1,272.56377,2589345.0,19.2,8.1,0
8,57.5,295.0,0.02,63.0,1141,15.2,113,63.0,6.73,63.0,0.1,369.835796,26616792.0,19.0,8.4,0
7,58.1,287.0,0.03,64.0,1599,15.7,110,64.0,8.33,64.0,0.1,373.3611163,2729431.0,18.8,8.7,0
6,58.6,281.0,0.01,63.0,2861,16.2,106,63.0,9.42,63.0,0.1,445.8932979,284331.0,18.6,8.9,0
5,58.8,279.0,0.01,66.0,1989,16.7,102,66.0,9.2,66.0,0.1,553.32894,2883167.0,18.4,9.2,0
4,59.2,275.0,0.01,68.0,3013,17.2,97,68.0,7.87,68.0,0.1,63.537231,2978599.0,18.2,9.5,0
3,59.5,272.0,0.01,67.0,2787,17.6,93,67.0,8.52,67.0,0.1,669.959,3696958.0,17.9,9.8,0
2,59.9,268.0,0.01,64.0,430,18.1,89,62.0,8.13,64.0,0.1,631.744976,31731688.0,17.7,9.9,0
1,59.9,271.0,0.01,62.0,492,18.6,86,58.0,8.18,62.0,0.1,612.696514,327582.0,17.5,10.0,0
0,65.0,263.0,0.01,65.0,1154,19.1,83,9.0,8.16,65.0,0.1,584.25921,33736494.0,17.2,10.1,0
31,72.6,11.0,3.66,96.0,662,45.0,1,97.0,6.26,97.0,0.1,1175.788981,38927.0,2.1,10.7,0
30,73.6,14.0,4.25,96.0,18,46.0,1,97.0,6.0,97.0,0.1,1326.97339,36173.0,2.1,10.6,0
29,73.3,15.0,3.73,96.0,16,46.9,1,98.0,6.3,98.0,0.1,1453.642777,3511.0,2.0,10.7,0
28,72.8,18.0,4.29,97.0,8,47.9,1,97.0,6.27,97.0,0.1,189.681557,339616.0,1.9,10.7,0
27,73.0,17.0,4.54,99.0,7,48.9,1,98.0,6.38,97.0,0.1,2416.588235,326939.0,1.8,10.9,0
26,73.5,15.0,5.16,98.0,6,49.9,1,97.0,6.12,98.0,0.1,279.142931,311487.0,1.8,10.8,0
25,74.2,99.0,5.31,98.0,68,5.8,1,97.0,5.86,97.0,0.1,35.1293,2992547.0,1.7,11.4,0
24,75.9,9.0,5.58,98.0,22,51.7,1,99.0,6.1,98.0,0.1,363.13685,29717.0,1.6,11.6,0
23,75.3,1.0,5.61,99.0,0,52.6,1,99.0,5.87,99.0,0.1,437.539647,2947314.0,1.6,12.0,0
